fromStation,fromNode,toStation,toNode,cruisedistance,vtoldistance
9,uam_st_9_fa,31,uam_st_31_fa,17798.54930116356,1200.0
9,uam_st_9_fa,25,uam_st_25_fa,54097.54436395868,1200.0
9,uam_st_9_fa,50,uam_st_50_fa,20034.91654732747,1200.0
9,uam_st_9_fa,29,uam_st_29_fa,60625.54227627949,1200.0
9,uam_st_9_fa,48,uam_st_48_fa,39765.760932349716,1200.0
9,uam_st_9_fa,54,uam_st_54_fa,44051.51421511352,1200.0
9,uam_st_9_fa,73,uam_st_73_fa,9552.095103977194,1200.0
9,uam_st_9_fa,58,uam_st_58_fa,59413.57637314221,1200.0
9,uam_st_9_fa,60,uam_st_60_fa,32193.224489598717,1200.0
9,uam_st_9_fa,21,uam_st_21_fa,60881.03683703218,1200.0
9,uam_st_9_fa,15,uam_st_15_fa,18237.284651672122,1200.0
9,uam_st_9_fa,40,uam_st_40_fa,51904.57572857345,1200.0
9,uam_st_9_fa,19,uam_st_19_fa,56703.45297986863,1200.0
9,uam_st_9_fa,44,uam_st_44_fa,25765.628945341097,1200.0
9,uam_st_9_fa,67,uam_st_67_fa,54506.54502308891,1200.0
9,uam_st_9_fa,2,uam_st_2_fa,13314.82777467059,1200.0
9,uam_st_9_fa,70,uam_st_70_fa,83117.84654331602,1200.0
9,uam_st_9_fa,38,uam_st_38_fa,70708.90110298409,1200.0
9,uam_st_9_fa,63,uam_st_63_fa,39450.856534511884,1200.0
9,uam_st_9_fa,11,uam_st_11_fa,45192.95482540413,1200.0
9,uam_st_9_fa,34,uam_st_34_fa,37904.539056374146,1200.0
9,uam_st_9_fa,6,uam_st_6_fa,22493.16313642085,1200.0
9,uam_st_9_fa,53,uam_st_53_fa,40684.067983957866,1200.0
9,uam_st_9_fa,8,uam_st_8_fa,10023.111358778919,1200.0
9,uam_st_9_fa,32,uam_st_32_fa,27405.712920664548,1200.0
9,uam_st_9_fa,26,uam_st_26_fa,32425.36398772106,1200.0
9,uam_st_9_fa,57,uam_st_57_fa,56645.99459349459,1200.0
9,uam_st_9_fa,47,uam_st_47_fa,43724.39287548614,1200.0
9,uam_st_9_fa,22,uam_st_22_fa,56609.76621829512,1200.0
9,uam_st_9_fa,16,uam_st_16_fa,77261.44299497275,1200.0
9,uam_st_9_fa,37,uam_st_37_fa,59304.82168569883,1200.0
9,uam_st_9_fa,68,uam_st_68_fa,69355.79127678592,1200.0
9,uam_st_9_fa,43,uam_st_43_fa,16252.53929572901,1200.0
9,uam_st_9_fa,64,uam_st_64_fa,52655.188000148526,1200.0
9,uam_st_9_fa,71,uam_st_71_fa,60235.243127522306,1200.0
9,uam_st_9_fa,3,uam_st_3_fa,9728.34515058726,1200.0
9,uam_st_9_fa,12,uam_st_12_fa,62659.06418750293,1200.0
9,uam_st_9_fa,33,uam_st_33_fa,64195.176611481955,1200.0
9,uam_st_9_fa,27,uam_st_27_fa,51774.814971852604,1200.0
9,uam_st_9_fa,52,uam_st_52_fa,25088.67951673182,1200.0
9,uam_st_9_fa,7,uam_st_7_fa,25151.247173025637,1200.0
9,uam_st_9_fa,56,uam_st_56_fa,56951.402487772284,1200.0
9,uam_st_9_fa,23,uam_st_23_fa,40040.34496076785,1200.0
9,uam_st_9_fa,65,uam_st_65_fa,68344.72557182131,1200.0
9,uam_st_9_fa,17,uam_st_17_fa,73971.15165892836,1200.0
9,uam_st_9_fa,42,uam_st_42_fa,38072.45226418724,1200.0
