fromStation,fromNode,toStation,toNode,cruisedistance,vtoldistance
9,uam_st_9_fa,31,uam_st_31_fa,90771.11029264885,1200.0
9,uam_st_9_fa,25,uam_st_25_fa,56781.00531030112,1200.0
9,uam_st_9_fa,50,uam_st_50_fa,79386.1937759894,1200.0
9,uam_st_9_fa,29,uam_st_29_fa,84303.58911019654,1200.0
9,uam_st_9_fa,48,uam_st_48_fa,34750.26103087933,1200.0
9,uam_st_9_fa,54,uam_st_54_fa,67180.08041400129,1200.0
9,uam_st_9_fa,73,uam_st_73_fa,69439.66478467593,1200.0
9,uam_st_9_fa,58,uam_st_58_fa,56674.93262912702,1200.0
9,uam_st_9_fa,60,uam_st_60_fa,79765.60221995928,1200.0
9,uam_st_9_fa,21,uam_st_21_fa,97192.01040959953,1200.0
9,uam_st_9_fa,15,uam_st_15_fa,67569.66329956532,1200.0
9,uam_st_9_fa,40,uam_st_40_fa,126914.08164262868,1200.0
9,uam_st_9_fa,19,uam_st_19_fa,74480.64347221125,1200.0
9,uam_st_9_fa,44,uam_st_44_fa,59926.41010188326,1200.0
9,uam_st_9_fa,67,uam_st_67_fa,73125.90942245937,1200.0
9,uam_st_9_fa,2,uam_st_2_fa,70085.08385993101,1200.0
9,uam_st_9_fa,70,uam_st_70_fa,77952.43690412013,1200.0
9,uam_st_9_fa,38,uam_st_38_fa,47018.04152767981,1200.0
9,uam_st_9_fa,63,uam_st_63_fa,63947.26663699896,1200.0
9,uam_st_9_fa,11,uam_st_11_fa,110567.65024384756,1200.0
9,uam_st_9_fa,34,uam_st_34_fa,110795.43298444507,1200.0
9,uam_st_9_fa,6,uam_st_6_fa,68046.37618553087,1200.0
9,uam_st_9_fa,53,uam_st_53_fa,70251.6889151558,1200.0
9,uam_st_9_fa,8,uam_st_8_fa,117111.41873808645,1200.0
9,uam_st_9_fa,32,uam_st_32_fa,20727.969064293662,1200.0
9,uam_st_9_fa,26,uam_st_26_fa,101615.89374703653,1200.0
