fromStation,fromNode,toStation,toNode,cruisedistance,vtoldistance
9,uam_st_9_fa,31,uam_st_31_fa,74166.52220613122,1200.0
9,uam_st_9_fa,25,uam_st_25_fa,8765.690910312462,1200.0
9,uam_st_9_fa,50,uam_st_50_fa,110827.26929235246,1200.0
9,uam_st_9_fa,29,uam_st_29_fa,87677.90894854015,1200.0
9,uam_st_9_fa,48,uam_st_48_fa,103632.18185018709,1200.0
9,uam_st_9_fa,54,uam_st_54_fa,92223.37415509437,1200.0
9,uam_st_9_fa,73,uam_st_73_fa,97220.78997349509,1200.0
9,uam_st_9_fa,58,uam_st_58_fa,97760.31020833999,1200.0
9,uam_st_9_fa,60,uam_st_60_fa,81771.62528297759,1200.0
9,uam_st_9_fa,21,uam_st_21_fa,46721.6451447873,1200.0
9,uam_st_9_fa,15,uam_st_15_fa,78798.46906392174,1200.0
9,uam_st_9_fa,40,uam_st_40_fa,84752.3432100256,1200.0
9,uam_st_9_fa,19,uam_st_19_fa,75507.55301908925,1200.0
9,uam_st_9_fa,44,uam_st_44_fa,122026.43282042217,1200.0
9,uam_st_9_fa,67,uam_st_67_fa,72434.0069870552,1200.0
9,uam_st_9_fa,2,uam_st_2_fa,92322.5023112455,1200.0
9,uam_st_9_fa,70,uam_st_70_fa,59121.90603302035,1200.0
9,uam_st_9_fa,38,uam_st_38_fa,62906.831839726794,1200.0
9,uam_st_9_fa,63,uam_st_63_fa,66631.10204709796,1200.0
9,uam_st_9_fa,11,uam_st_11_fa,14060.705552246642,1200.0
9,uam_st_9_fa,34,uam_st_34_fa,83610.57314658756,1200.0
9,uam_st_9_fa,6,uam_st_6_fa,70670.25640692179,1200.0
9,uam_st_9_fa,53,uam_st_53_fa,90359.24060740914,1200.0
9,uam_st_9_fa,8,uam_st_8_fa,70789.1442974911,1200.0
9,uam_st_9_fa,32,uam_st_32_fa,80838.28586401645,1200.0
9,uam_st_9_fa,74,uam_st_74_fa,47294.80324815222,1200.0
9,uam_st_9_fa,26,uam_st_26_fa,22173.6878906652,1200.0
9,uam_st_9_fa,57,uam_st_57_fa,114020.59214465557,1200.0
