station_id,station_name,x,y,z,vtol_z,ground_access_capacity,ground_access_freespeed,flight_access_capacity,flight_access_freespeed,preflighttime,postflighttime,defaultwaittime,numberOfChargers,chargingSpeed
0,way/24810270,4497022.656,5327020.917,0,600,999,35,999,35,180,180,240,99999,99999
1,way/28235394,4442694.891,5338363.942,0,600,999,35,999,35,180,180,240,99999,99999
2,way/45677545,4415850.862,5369121.914,0,600,999,35,999,35,180,180,240,99999,99999
3,way/65660647,4467319.042,5327369.615,0,600,999,35,999,35,180,180,240,99999,99999
4,way/74313941,4446946.933,5327693.451,0,600,999,35,999,35,180,180,240,99999,99999
5,way/83826104,4472293.529,5335210.585,0,600,999,35,999,35,180,180,240,99999,99999
6,way/95278108,4414848.481,5323902.985,0,600,999,35,999,35,180,180,240,99999,99999
7,way/110750654,4453984.458,5403851.751,0,600,999,35,999,35,180,180,240,99999,99999
8,way/111680116,4522266.777,5385180.172,0,600,999,35,999,35,180,180,240,99999,99999
9,way/112444427,4470387.616,5333187.078,0,600,999,35,999,35,180,180,240,99999,99999
10,way/115480936,4536184.605,5387179.548,0,600,999,35,999,35,180,180,240,99999,99999
11,way/132068630,4446326.43,5304862.628,0,600,999,35,999,35,180,180,240,99999,99999
12,way/150746354,4457382.032,5403787.365,0,600,999,35,999,35,180,180,240,99999,99999
13,way/166225665,4527759.73,5301386.138,0,600,999,35,999,35,180,180,240,99999,99999
14,way/167826559,4466464.905,5329544.304,0,600,999,35,999,35,180,180,240,99999,99999
15,way/172451883,4467826.933,5344535.184,0,600,999,35,999,35,180,180,240,99999,99999
16,way/188948762,4474286.416,5323393.901,0,600,999,35,999,35,180,180,240,99999,99999
17,way/200356379,4514223.989,5312082.383,0,600,999,35,999,35,180,180,240,99999,99999
18,way/217972725,4461638.794,5340173.081,0,600,999,35,999,35,180,180,240,99999,99999
19,way/234412737,4412793.033,5349965.727,0,600,999,35,999,35,180,180,240,99999,99999
20,way/268692816,4481154.524,5362983.443,0,600,999,35,999,35,180,180,240,99999,99999
21,way/306846354,4492360.413,5350694.901,0,600,999,35,999,35,180,180,240,99999,99999
22,way/329669580,4526804.739,5367484.152,0,600,999,35,999,35,180,180,240,99999,99999
23,way/342847572,4510349.612,5377770.884,0,600,999,35,999,35,180,180,240,99999,99999
24,way/363627482,4523936.515,5376574.981,0,600,999,35,999,35,180,180,240,99999,99999
25,way/372856939,4502573.52,5374989.585,0,600,999,35,999,35,180,180,240,99999,99999
26,way/391593727,4483263.376,5406892.824,0,600,999,35,999,35,180,180,240,99999,99999
27,way/471217676,4481480.681,5356399.117,0,600,999,35,999,35,180,180,240,99999,99999
28,way/659661174,4440571.242,5417011.843,0,600,999,35,999,35,180,180,240,99999,99999
29,way/660353277,4472464.902,5329405.704,0,600,999,35,999,35,180,180,240,99999,99999
30,way/660353377,4474386.252,5328539.83,0,600,999,35,999,35,180,180,240,99999,99999
31,way/660356423,4459469.46,5334275.109,0,600,999,35,999,35,180,180,240,99999,99999
32,way/660357543,4463205.506,5336772.143,0,600,999,35,999,35,180,180,240,99999,99999
33,way/660363302,4510003.022,5302473.895,0,600,999,35,999,35,180,180,240,99999,99999
34,way/660653821,4406848.5,5338395.626,0,600,999,35,999,35,180,180,240,99999,99999
