station_id,station_name,x,y,z,vtol_z,ground_access_capacity,ground_access_freespeed,flight_access_capacity,flight_access_freespeed,preflighttime,postflighttime,defaultwaittime,numberOfChargers,chargingSpeed
0,0,4459400.828,5305499.007,0,600,999,35,999,35,120,120,240,99999,99999
1,1,4456965.5,5405656.484,0,600,999,35,999,35,120,120,240,99999,99999
2,2,4458996.903,5346432.898,0,600,999,35,999,35,120,120,240,99999,99999
3,3,4473598.231,5331028.844,0,600,999,35,999,35,120,120,240,99999,99999
4,4,4420058.392,5358929.038,0,600,999,35,999,35,120,120,240,99999,99999
5,5,4497215.903,5368895.168,0,600,999,35,999,35,120,120,240,99999,99999
6,6,4508662.77,5302237.044,0,600,999,35,999,35,120,120,240,99999,99999
7,7,4458884.108,5333652.462,0,600,999,35,999,35,120,120,240,99999,99999
8,8,4416797.186,5324903.428,0,600,999,35,999,35,120,120,240,99999,99999
9,9,4525638.248,5368131.979,0,600,999,35,999,35,120,120,240,99999,99999
10,10,4468015.509,5340265.22,0,600,999,35,999,35,120,120,240,99999,99999
11,11,4416521.282,5350280.004,0,600,999,35,999,35,120,120,240,99999,99999
12,12,4514527.046,5323048.525,0,600,999,35,999,35,120,120,240,99999,99999
13,13,4470662.313,5388927.816,0,600,999,35,999,35,120,120,240,99999,99999
14,14,4433520.204,5385156.005,0,600,999,35,999,35,120,120,240,99999,99999
15,15,4488295.528,5311818.742,0,600,999,35,999,35,120,120,240,99999,99999
16,16,4442795.807,5338907.969,0,600,999,35,999,35,120,120,240,99999,99999
17,17,4518092.668,5390575.855,0,600,999,35,999,35,120,120,240,99999,99999
18,18,4493347.426,5351276.089,0,600,999,35,999,35,120,120,240,99999,99999
19,19,4463392.409,5327231.835,0,600,999,35,999,35,120,120,240,99999,99999
20,20,4437686.296,5302856.129,0,600,999,35,999,35,120,120,240,99999,99999
21,21,4442559.664,5418572.397,0,600,999,35,999,35,120,120,240,99999,99999
22,22,4480182.319,5409182.816,0,600,999,35,999,35,120,120,240,99999,99999
23,23,4468765.767,5331058.535,0,600,999,35,999,35,120,120,240,99999,99999
24,24,4401506.729,5374297.91,0,600,999,35,999,35,120,120,240,99999,99999
25,25,4485792.766,5327679.289,0,600,999,35,999,35,120,120,240,99999,99999
26,26,4431387.741,5330149.986,0,600,999,35,999,35,120,120,240,99999,99999
27,27,4477279.234,5353082.378,0,600,999,35,999,35,120,120,240,99999,99999
28,28,4522874.069,5309316.761,0,600,999,35,999,35,120,120,240,99999,99999
29,29,4465681.459,5427396.459,0,600,999,35,999,35,120,120,240,99999,99999
30,30,4409655.749,5338394.155,0,600,999,35,999,35,120,120,240,99999,99999
31,31,4512697.482,5278288.053,0,600,999,35,999,35,120,120,240,99999,99999
32,32,4533880.954,5387150.562,0,600,999,35,999,35,120,120,240,99999,99999
33,33,4511863.154,5354569.133,0,600,999,35,999,35,120,120,240,99999,99999
34,34,4415032.215,5361656.376,0,600,999,35,999,35,120,120,240,99999,99999
35,35,4473481.699,5318671.504,0,600,999,35,999,35,120,120,240,99999,99999
36,36,4483776.791,5377448.039,0,600,999,35,999,35,120,120,240,99999,99999
37,37,4456607.623,5361122.662,0,600,999,35,999,35,120,120,240,99999,99999
38,38,4488859.386,5338840.145,0,600,999,35,999,35,120,120,240,99999,99999
39,39,4482001.376,5363281.974,0,600,999,35,999,35,120,120,240,99999,99999
40,40,4399332.289,5355722.755,0,600,999,35,999,35,120,120,240,99999,99999
41,41,4447075.327,5379919.098,0,600,999,35,999,35,120,120,240,99999,99999
42,42,4442196.731,5398988.582,0,600,999,35,999,35,120,120,240,99999,99999
43,43,4469753.374,5335825.806,0,600,999,35,999,35,120,120,240,99999,99999
44,44,4468578.87,5349817.995,0,600,999,35,999,35,120,120,240,99999,99999
45,45,4479283.746,5332670.007,0,600,999,35,999,35,120,120,240,99999,99999
46,46,4452607.466,5292448.626,0,600,999,35,999,35,120,120,240,99999,99999
47,47,4416604.174,5377505.42,0,600,999,35,999,35,120,120,240,99999,99999
48,48,4507377.043,5338566.644,0,600,999,35,999,35,120,120,240,99999,99999
49,49,4501996.162,5391695.465,0,600,999,35,999,35,120,120,240,99999,99999
50,50,4451582.663,5339532.362,0,600,999,35,999,35,120,120,240,99999,99999
51,51,4434323.142,5368548.467,0,600,999,35,999,35,120,120,240,99999,99999
52,52,4510901.706,5378096.564,0,600,999,35,999,35,120,120,240,99999,99999
53,53,4464678.863,5333214.173,0,600,999,35,999,35,120,120,240,99999,99999
54,54,4473748.316,5325463.511,0,600,999,35,999,35,120,120,240,99999,99999
55,55,4451743.52,5330109.331,0,600,999,35,999,35,120,120,240,99999,99999
56,56,4451088.555,5315641.135,0,600,999,35,999,35,120,120,240,99999,99999
57,57,4426477.86,5348866.943,0,600,999,35,999,35,120,120,240,99999,99999
58,58,4468964.994,5367695.78,0,600,999,35,999,35,120,120,240,99999,99999
59,59,4498160.503,5323225.124,0,600,999,35,999,35,120,120,240,99999,99999
60,60,4476948.609,5304950.729,0,600,999,35,999,35,120,120,240,99999,99999
61,61,4498617.507,5303394.429,0,600,999,35,999,35,120,120,240,99999,99999
62,62,4474811.783,5343103.385,0,600,999,35,999,35,120,120,240,99999,99999
63,63,4462313.626,5377033.954,0,600,999,35,999,35,120,120,240,99999,99999
64,64,4524990.748,5298538.292,0,600,999,35,999,35,120,120,240,99999,99999
65,65,4487744.352,5296229.469,0,600,999,35,999,35,120,120,240,99999,99999
66,66,4485604.039,5390369.359,0,600,999,35,999,35,120,120,240,99999,99999
67,67,4458757.135,5397700.803,0,600,999,35,999,35,120,120,240,99999,99999
68,68,4436656.534,5319078.045,0,600,999,35,999,35,120,120,240,99999,99999
69,69,4443834.176,5355379.222,0,600,999,35,999,35,120,120,240,99999,99999
70,70,4508645.186,5292054.267,0,600,999,35,999,35,120,120,240,99999,99999
71,71,4430346.977,5404289.38,0,600,999,35,999,35,120,120,240,99999,99999
72,72,4462644.701,5338231.054,0,600,999,35,999,35,120,120,240,99999,99999
73,73,4467283.998,5405770.371,0,600,999,35,999,35,120,120,240,99999,99999
