fromStation,fromNode,toStation,toNode,cruisedistance,vtoldistance
9,uam_st_9_fa,31,uam_st_31_fa,33516.53266752628,1200.0
9,uam_st_9_fa,25,uam_st_25_fa,4354.186214908927,1200.0
9,uam_st_9_fa,50,uam_st_50_fa,25446.96493759152,1200.0
9,uam_st_9_fa,29,uam_st_29_fa,8376.237300865763,1200.0
9,uam_st_9_fa,48,uam_st_48_fa,28839.58967650385,1200.0
9,uam_st_9_fa,54,uam_st_54_fa,22920.614805766396,1200.0
9,uam_st_9_fa,73,uam_st_73_fa,6855.3470860650095,1200.0
9,uam_st_9_fa,58,uam_st_58_fa,59049.98802671928,1200.0
9,uam_st_9_fa,60,uam_st_60_fa,76420.10346316897,1200.0
9,uam_st_9_fa,21,uam_st_21_fa,12003.700715774434,1200.0
9,uam_st_9_fa,15,uam_st_15_fa,12118.843776119422,1200.0
9,uam_st_9_fa,40,uam_st_40_fa,12003.035957124064,1200.0
9,uam_st_9_fa,19,uam_st_19_fa,13397.512940890214,1200.0
9,uam_st_9_fa,44,uam_st_44_fa,63681.300265179685,1200.0
9,uam_st_9_fa,67,uam_st_67_fa,72796.29017592125,1200.0
9,uam_st_9_fa,2,uam_st_2_fa,11314.850617895383,1200.0
9,uam_st_9_fa,70,uam_st_70_fa,103160.39123890591,1200.0
9,uam_st_9_fa,38,uam_st_38_fa,18326.965665740914,1200.0
9,uam_st_9_fa,63,uam_st_63_fa,76833.52082368055,1200.0
9,uam_st_9_fa,11,uam_st_11_fa,12362.984079352125,1200.0
9,uam_st_9_fa,34,uam_st_34_fa,37224.98241281081,1200.0
9,uam_st_9_fa,6,uam_st_6_fa,14809.706757521437,1200.0
9,uam_st_9_fa,53,uam_st_53_fa,61513.01444160916,1200.0
9,uam_st_9_fa,8,uam_st_8_fa,4993.973392490961,1200.0
9,uam_st_9_fa,32,uam_st_32_fa,22126.580874940646,1200.0
9,uam_st_9_fa,26,uam_st_26_fa,18114.87800251731,1200.0
9,uam_st_9_fa,57,uam_st_57_fa,27726.56493762709,1200.0
9,uam_st_9_fa,47,uam_st_47_fa,45021.47119033058,1200.0
9,uam_st_9_fa,22,uam_st_22_fa,7341.553807568151,1200.0
9,uam_st_9_fa,16,uam_st_16_fa,17416.888694017223,1200.0
9,uam_st_9_fa,37,uam_st_37_fa,11292.208317701994,1200.0
9,uam_st_9_fa,68,uam_st_68_fa,76880.2209905127,1200.0
9,uam_st_9_fa,43,uam_st_43_fa,58042.35268155785,1200.0
9,uam_st_9_fa,64,uam_st_64_fa,75977.36855395068,1200.0
9,uam_st_9_fa,71,uam_st_71_fa,77937.9243698777,1200.0
9,uam_st_9_fa,3,uam_st_3_fa,5630.303897948451,1200.0
9,uam_st_9_fa,12,uam_st_12_fa,1355.3718487152144,1200.0
9,uam_st_9_fa,33,uam_st_33_fa,24301.080516325957,1200.0
9,uam_st_9_fa,27,uam_st_27_fa,7667.393130385214,1200.0
9,uam_st_9_fa,52,uam_st_52_fa,6217.550841897389,1200.0
9,uam_st_9_fa,7,uam_st_7_fa,9904.476574028344,1200.0
9,uam_st_9_fa,56,uam_st_56_fa,86558.5999474629,1200.0
9,uam_st_9_fa,23,uam_st_23_fa,9320.39335962911,1200.0
9,uam_st_9_fa,65,uam_st_65_fa,74845.22422096836,1200.0
9,uam_st_9_fa,17,uam_st_17_fa,13351.151075448328,1200.0
9,uam_st_9_fa,42,uam_st_42_fa,94605.27933193356,1200.0
9,uam_st_9_fa,36,uam_st_36_fa,42970.118597482026,1200.0
9,uam_st_9_fa,61,uam_st_61_fa,48074.33825067045,1200.0
9,uam_st_9_fa,0,uam_st_0_fa,14753.265808850556,1200.0
9,uam_st_9_fa,46,uam_st_46_fa,37393.21564111207,1200.0
9,uam_st_9_fa,4,uam_st_4_fa,6115.732900694994,1200.0
9,uam_st_9_fa,69,uam_st_69_fa,68202.64340754153,1200.0
9,uam_st_9_fa,13,uam_st_13_fa,16501.235820441052,1200.0
9,uam_st_9_fa,28,uam_st_28_fa,11485.813252340342,1200.0
9,uam_st_9_fa,30,uam_st_30_fa,29913.430677824446,1200.0
9,uam_st_9_fa,49,uam_st_49_fa,8257.342263143846,1200.0
9,uam_st_9_fa,51,uam_st_51_fa,9542.778856633224,1200.0
9,uam_st_9_fa,55,uam_st_55_fa,64115.410833022084,1200.0
9,uam_st_9_fa,72,uam_st_72_fa,35189.81075917925,1200.0
9,uam_st_9_fa,59,uam_st_59_fa,47126.166136763226,1200.0
9,uam_st_9_fa,24,uam_st_24_fa,10649.38875431292,1200.0
9,uam_st_9_fa,20,uam_st_20_fa,8154.761453125714,1200.0
9,uam_st_9_fa,41,uam_st_41_fa,26403.671072060533,1200.0
9,uam_st_9_fa,14,uam_st_14_fa,18182.775288592547,1200.0
9,uam_st_9_fa,1,uam_st_1_fa,13540.180360377326,1200.0
9,uam_st_9_fa,62,uam_st_62_fa,78623.78399536159,1200.0
9,uam_st_9_fa,18,uam_st_18_fa,10943.373827714937,1200.0
9,uam_st_9_fa,45,uam_st_45_fa,29647.889557727263,1200.0
9,uam_st_9_fa,66,uam_st_66_fa,73184.42895066703,1200.0
9,uam_st_9_fa,39,uam_st_39_fa,24434.018994611695,1200.0
9,uam_st_9_fa,10,uam_st_10_fa,12491.404441596236,1200.0
9,uam_st_9_fa,35,uam_st_35_fa,37012.95076696767,1200.0
9,uam_st_9_fa,5,uam_st_5_fa,12824.141009389285,1200.0
31,uam_st_31_fa,9,uam_st_9_fa,33516.53266752628,1200.0
31,uam_st_31_fa,25,uam_st_25_fa,31500.914461553544,1200.0
31,uam_st_31_fa,50,uam_st_50_fa,53473.065785671315,1200.0
31,uam_st_31_fa,29,uam_st_29_fa,25173.144169502517,1200.0
31,uam_st_31_fa,48,uam_st_48_fa,5235.105432601034,1200.0
31,uam_st_31_fa,54,uam_st_54_fa,25156.56466928497,1200.0
31,uam_st_31_fa,73,uam_st_73_fa,29290.68393727913,1200.0
31,uam_st_31_fa,58,uam_st_58_fa,75002.79919549843,1200.0
31,uam_st_31_fa,60,uam_st_60_fa,47924.34793675811,1200.0
31,uam_st_31_fa,21,uam_st_21_fa,25513.72340340416,1200.0
31,uam_st_31_fa,15,uam_st_15_fa,27381.212316453704,1200.0
31,uam_st_31_fa,40,uam_st_40_fa,42834.58869655922,1200.0
31,uam_st_31_fa,19,uam_st_19_fa,31560.339233559414,1200.0
31,uam_st_31_fa,44,uam_st_44_fa,63669.34397855696,1200.0
31,uam_st_31_fa,67,uam_st_67_fa,43522.92657949943,1200.0
31,uam_st_31_fa,2,uam_st_2_fa,34006.13107043264,1200.0
31,uam_st_31_fa,70,uam_st_70_fa,71330.84353372765,1200.0
31,uam_st_31_fa,38,uam_st_38_fa,15459.223900896939,1200.0
31,uam_st_31_fa,63,uam_st_63_fa,48490.115716981905,1200.0
31,uam_st_31_fa,11,uam_st_11_fa,39341.53865770914,1200.0
31,uam_st_31_fa,34,uam_st_34_fa,61353.326193382745,1200.0
31,uam_st_31_fa,6,uam_st_6_fa,25234.816604759722,1200.0
31,uam_st_31_fa,53,uam_st_53_fa,33565.58157838003,1200.0
31,uam_st_31_fa,8,uam_st_8_fa,35342.98884924345,1200.0
31,uam_st_31_fa,32,uam_st_32_fa,53188.770171525764,1200.0
31,uam_st_31_fa,26,uam_st_26_fa,37642.1017225282,1200.0
31,uam_st_31_fa,57,uam_st_57_fa,15711.053764567318,1200.0
31,uam_st_31_fa,47,uam_st_47_fa,66742.9608246268,1200.0
31,uam_st_31_fa,22,uam_st_22_fa,29153.84348263218,1200.0
31,uam_st_31_fa,16,uam_st_16_fa,27993.004708382865,1200.0
