fromStation,fromNode,toStation,toNode,cruisedistance,vtoldistance
Augsburg,uam_st_Augsburg_fa,MUC,uam_st_MUC_fa,60967.03957980851,1200.0
Augsburg,uam_st_Augsburg_fa,Muenchen,uam_st_Muenchen_fa,52893.51765608041,1200.0
Augsburg,uam_st_Augsburg_fa,Straubing,uam_st_Straubing_fa,127996.873891703,1200.0
Augsburg,uam_st_Augsburg_fa,Muehldorf,uam_st_Muehldorf_fa,117616.92357607026,1200.0
Augsburg,uam_st_Augsburg_fa,NUE,uam_st_NUE_fa,119495.91318558277,1200.0
Augsburg,uam_st_Augsburg_fa,Memmingen,uam_st_Memmingen_fa,70991.31874555345,1200.0
Augsburg,uam_st_Augsburg_fa,Messe,uam_st_Messe_fa,63788.995050533995,1200.0
Augsburg,uam_st_Augsburg_fa,ONT,uam_st_ONT_fa,68101.84478191867,1200.0
Augsburg,uam_st_Augsburg_fa,Oberpf,uam_st_Oberpf_fa,45317.41334027054,1200.0
Augsburg,uam_st_Augsburg_fa,Salzburg,uam_st_Salzburg_fa,169092.9126037636,1200.0
Augsburg,uam_st_Augsburg_fa,Kempten,uam_st_Kempten_fa,92251.91600901331,1200.0
Augsburg,uam_st_Augsburg_fa,Ingolstadt,uam_st_Ingolstadt_fa,51492.87781696758,1200.0
Augsburg,uam_st_Augsburg_fa,Manching,uam_st_Manching_fa,52737.471919973985,1200.0
Augsburg,uam_st_Augsburg_fa,Garmisch,uam_st_Garmisch_fa,104765.79647771057,1200.0
Augsburg,uam_st_Augsburg_fa,Innsbruck,uam_st_Innsbruck_fa,133512.61479940027,1200.0
MUC,uam_st_MUC_fa,Augsburg,uam_st_Augsburg_fa,60967.03957980851,1200.0
MUC,uam_st_MUC_fa,Muenchen,uam_st_Muenchen_fa,34381.846651437285,1200.0
MUC,uam_st_MUC_fa,Straubing,uam_st_Straubing_fa,82889.23379085997,1200.0
MUC,uam_st_MUC_fa,Muehldorf,uam_st_Muehldorf_fa,56652.70355540271,1200.0
MUC,uam_st_MUC_fa,NUE,uam_st_NUE_fa,135870.1455199372,1200.0
MUC,uam_st_MUC_fa,Memmingen,uam_st_Memmingen_fa,119936.42869397427,1200.0
MUC,uam_st_MUC_fa,Messe,uam_st_Messe_fa,30842.810082715852,1200.0
MUC,uam_st_MUC_fa,ONT,uam_st_ONT_fa,34291.051406824925,1200.0
MUC,uam_st_MUC_fa,Oberpf,uam_st_Oberpf_fa,45511.98496859749,1200.0
MUC,uam_st_MUC_fa,Salzburg,uam_st_Salzburg_fa,112172.11371729907,1200.0
MUC,uam_st_MUC_fa,Kempten,uam_st_Kempten_fa,128110.56921200396,1200.0
MUC,uam_st_MUC_fa,Ingolstadt,uam_st_Ingolstadt_fa,49093.27816346576,1200.0
MUC,uam_st_MUC_fa,Manching,uam_st_Manching_fa,44480.67840450173,1200.0
MUC,uam_st_MUC_fa,Garmisch,uam_st_Garmisch_fa,107789.04942259006,1200.0
MUC,uam_st_MUC_fa,Innsbruck,uam_st_Innsbruck_fa,125752.74290299042,1200.0
Muenchen,uam_st_Muenchen_fa,Augsburg,uam_st_Augsburg_fa,52893.51765608041,1200.0
Muenchen,uam_st_Muenchen_fa,MUC,uam_st_MUC_fa,34381.846651437285,1200.0
Muenchen,uam_st_Muenchen_fa,Straubing,uam_st_Straubing_fa,117181.97657254177,1200.0
Muenchen,uam_st_Muenchen_fa,Muehldorf,uam_st_Muehldorf_fa,79356.1895615256,1200.0
Muenchen,uam_st_Muenchen_fa,NUE,uam_st_NUE_fa,156578.26730786794,1200.0
Muenchen,uam_st_Muenchen_fa,Memmingen,uam_st_Memmingen_fa,93086.90878553216,1200.0
Muenchen,uam_st_Muenchen_fa,Messe,uam_st_Messe_fa,12339.067476932774,1200.0
Muenchen,uam_st_Muenchen_fa,ONT,uam_st_ONT_fa,15790.173527814037,1200.0
Muenchen,uam_st_Muenchen_fa,Oberpf,uam_st_Oberpf_fa,13954.603859999404,1200.0
Muenchen,uam_st_Muenchen_fa,Salzburg,uam_st_Salzburg_fa,119637.59117619219,1200.0
Muenchen,uam_st_Muenchen_fa,Kempten,uam_st_Kempten_fa,95994.69896904883,1200.0
Muenchen,uam_st_Muenchen_fa,Ingolstadt,uam_st_Ingolstadt_fa,70626.76384204322,1200.0
Muenchen,uam_st_Muenchen_fa,Manching,uam_st_Manching_fa,67594.45993942865,1200.0
Muenchen,uam_st_Muenchen_fa,Garmisch,uam_st_Garmisch_fa,74281.46798611742,1200.0
Muenchen,uam_st_Muenchen_fa,Innsbruck,uam_st_Innsbruck_fa,95277.39214600244,1200.0
Straubing,uam_st_Straubing_fa,Augsburg,uam_st_Augsburg_fa,127996.873891703,1200.0
Straubing,uam_st_Straubing_fa,MUC,uam_st_MUC_fa,82889.23379085997,1200.0
Straubing,uam_st_Straubing_fa,Muenchen,uam_st_Muenchen_fa,117181.97657254177,1200.0
Straubing,uam_st_Straubing_fa,Muehldorf,uam_st_Muehldorf_fa,69295.19063917856,1200.0
Straubing,uam_st_Straubing_fa,NUE,uam_st_NUE_fa,123563.08359675921,1200.0
Straubing,uam_st_Straubing_fa,Memmingen,uam_st_Memmingen_fa,196886.60134608828,1200.0
Straubing,uam_st_Straubing_fa,Messe,uam_st_Messe_fa,111465.17516421202,1200.0
Straubing,uam_st_Straubing_fa,ONT,uam_st_ONT_fa,113551.2657435881,1200.0
Straubing,uam_st_Straubing_fa,Oberpf,uam_st_Oberpf_fa,128162.3382766609,1200.0
Straubing,uam_st_Straubing_fa,Salzburg,uam_st_Salzburg_fa,128643.58905059022,1200.0
Straubing,uam_st_Straubing_fa,Kempten,uam_st_Kempten_fa,209692.6811413078,1200.0
Straubing,uam_st_Straubing_fa,Ingolstadt,uam_st_Ingolstadt_fa,81004.52238732677,1200.0
Straubing,uam_st_Straubing_fa,Manching,uam_st_Manching_fa,77628.33984155177,1200.0
Straubing,uam_st_Straubing_fa,Garmisch,uam_st_Garmisch_fa,188940.49063198824,1200.0
Straubing,uam_st_Straubing_fa,Innsbruck,uam_st_Innsbruck_fa,202452.372226636,1200.0
Muehldorf,uam_st_Muehldorf_fa,Augsburg,uam_st_Augsburg_fa,117616.92357607026,1200.0
Muehldorf,uam_st_Muehldorf_fa,MUC,uam_st_MUC_fa,56652.70355540271,1200.0
Muehldorf,uam_st_Muehldorf_fa,Muenchen,uam_st_Muenchen_fa,79356.1895615256,1200.0
Muehldorf,uam_st_Muehldorf_fa,Straubing,uam_st_Straubing_fa,69295.19063917856,1200.0
Muehldorf,uam_st_Muehldorf_fa,NUE,uam_st_NUE_fa,170869.88353227268,1200.0
Muehldorf,uam_st_Muehldorf_fa,Memmingen,uam_st_Memmingen_fa,172180.28563408906,1200.0
Muehldorf,uam_st_Muehldorf_fa,Messe,uam_st_Messe_fa,68335.68448413789,1200.0
Muehldorf,uam_st_Muehldorf_fa,ONT,uam_st_ONT_fa,67591.36390989495,1200.0
Muehldorf,uam_st_Muehldorf_fa,Oberpf,uam_st_Oberpf_fa,93263.34334366884,1200.0
Muehldorf,uam_st_Muehldorf_fa,Salzburg,uam_st_Salzburg_fa,65521.3206940387,1200.0
Muehldorf,uam_st_Muehldorf_fa,Kempten,uam_st_Kempten_fa,174020.2122574395,1200.0
Muehldorf,uam_st_Muehldorf_fa,Ingolstadt,uam_st_Ingolstadt_fa,94402.26742978669,1200.0
Muehldorf,uam_st_Muehldorf_fa,Manching,uam_st_Manching_fa,89189.35673625635,1200.0
