station_id,station_name,x,y,z,vtol_z,ground_access_capacity,ground_access_freespeed,flight_access_capacity,flight_access_freespeed,preflighttime,postflighttime,defaultwaittime,numberOfChargers,chargingSpeed
MUC,Munich International Airport,4481535.071526931,5357517.459119666,0,600,999.0,35.0,999.0,35.0,120,120,240,99999,99999
NUE,Airport Nuernberg,4433348.133536512,5484555.703167341,0,600,999.0,35.0,999.0,35.0,120,120,240,99999,99999
Ingolstadt,Ingolstadt Hbf,4458644.391719443,5400947.480289204,0,600,999.0,35.0,999.0,35.0,120,120,240,99999,99999
Straubing,Airfield Straubing-Wallmuehle GmbH,4537736.883391706,5418443.49149953,0,600,999.0,35.0,999.0,35.0,120,120,240,99999,99999
Manching,Flugplatz Ingolstadt-Manching,4462877.309984613,5397895.9024471985,0,600,999.0,35.0,999.0,35.0,120,120,240,99999,99999
Augsburg,Airport Augsburg,4421117.909631326,5365687.310012199,0,600,999.0,35.0,999.0,35.0,120,120,240,99999,99999
Muenchen,Heliport Uni-Klinikum,4460470.12889578,5330344.318500495,0,600,999.0,35.0,999.0,35.0,120,120,240,99999,99999
Muehldorf,Muehldorf Airport,4537566.219363285,5349148.511021075,0,600,999.0,35.0,999.0,35.0,120,120,240,99999,99999
Memmingen,Memmingen Airport,4368150.096486334,5318420.21672448,0,600,999.0,35.0,999.0,35.0,120,120,240,99999,99999
Oberpf,Oberpfaffenhofen Airport,4446671.789306885,5328261.821566756,0,600,999.0,35.0,999.0,35.0,120,120,240,99999,99999
Messe,Messe Muenchen,4472584.805476616,5328001.841704016,0,600,999.0,35.0,999.0,35.0,120,120,240,99999,99999
ONT,Airbus Ottobrunn,4474876.083041585,5323879.176182847,0,600,999.0,35.0,999.0,35.0,120,120,240,99999,99999
Kempten,Kempten-Durach Airport,4375631.500334957,5285428.961059226,0,600,999.0,35.0,999.0,35.0,120,120,240,99999,99999
Salzburg,Salzburg Airport,4574850.806974369,5295269.916086143,0,600,999.0,35.0,999.0,35.0,120,120,240,99999,99999
Garmisch,Airport Shuttle Service,4432477.459145805,5261539.181145487,0,600,999.0,35.0,999.0,35.0,120,120,240,99999,99999
Innsbruck,Innsbruck Airport,4450930.391252779,5235545.7169293435,0,600,999.0,35.0,999.0,35.0,120,120,240,99999,99999
